Unnamed: 0,datetime,open,high,low,close,volume,shadow,abs_diff,avg_abs_diff_15d,new_column,signal_1,HL,HC,LC,TR,ATR,Upper Band,Lower Band,Supertrend,In Uptrend,Tenkan-sen,Kijun-sen,Senkou Span A,Senkou Span B,Chikou Span,Buy Signal,Sell Signal,signal_2,combined_signal,signal,signals,trade_type
51,2019-10-29,9215.78,9569.1,9070.0,9415.02,124703.014,-0.7733386870106409,199.23999999999978,852.2822977802307,0.0,0,499.10000000000036,351.7399999999998,147.36000000000058,499.10000000000036,1046.7099999999998,12459.679999999998,6790.096999999999,6790.096999999999,True,8790.619999999999,8790.619999999999,8790.619999999999,8824.150000000001,8220.27,True,False,1,1.0,1,1,long
52,2019-10-30,9415.02,9418.65,8975.72,9165.3,98464.858,0.7591702707031838,249.72000000000116,854.7299545278302,0.0,0,442.9300000000003,3.6299999999991996,439.3000000000011,442.9300000000003,847.0959999999999,11738.472999999998,6790.096999999999,6790.096999999999,True,8790.619999999999,8790.619999999999,8790.619999999999,8824.150000000001,8130.56,True,False,1,1.0,1,0,hold
53,2019-10-31,9163.4,9438.64,8933.0,9150.0,98836.044,16.19402985074671,13.399999999999636,856.491144240425,0.0,0,505.6399999999994,273.34000000000015,232.29999999999927,505.6399999999994,591.9059999999997,10961.537999999999,7410.102000000001,7410.102000000001,True,8790.619999999999,8790.619999999999,8790.619999999999,8811.445,8122.14,True,False,1,1.0,1,0,hold
54,2019-11-01,9149.88,9280.0,9050.27,9231.01,87256.949,-0.6038456797731933,81.13000000000102,856.3984940764758,0.0,0,229.72999999999956,130.0,99.72999999999956,229.72999999999956,490.2999999999996,10636.035,7694.2350000000015,7694.2350000000015,True,8872.96,8790.619999999999,8831.789999999999,8811.445,7852.79,True,False,1,1.0,1,0,hold
55,2019-11-02,9231.7,9375.0,9194.98,9287.8,56602.055,-1.5543672014260783,56.099999999998545,856.9193411857584,0.0,0,180.02000000000044,143.98999999999978,36.030000000000655,180.02000000000044,371.48400000000004,10399.442,8170.538,8170.538,True,8883.74,8790.619999999999,8837.18,8811.445,8186.88,True,False,1,1.0,1,0,hold
56,2019-11-03,9288.96,9366.69,9073.0,9197.88,75612.722,1.371102327624059,91.07999999999993,854.6125623365298,0.0,0,293.6900000000005,78.89000000000124,214.79999999999927,293.6900000000005,330.40200000000004,10211.051000000001,8228.639000000001,8228.639000000001,True,9517.685,8790.619999999999,9154.1525,8806.654999999999,8167.62,True,False,1,1.0,1,0,hold
57,2019-11-04,9197.86,9550.0,9126.01,9395.46,90433.357,-0.7820850202429251,197.59999999999854,851.0425899743216,0.0,0,423.9899999999998,352.1200000000008,71.86999999999898,423.9899999999998,326.6139999999999,10317.847000000002,8358.163,8358.163,True,9431.564999999999,8790.619999999999,9111.092499999999,8796.365,8559.77,True,False,1,1.0,1,0,hold
58,2019-11-05,9395.47,9457.13,9164.33,9313.2,113738.226,1.809529597666261,82.26999999999862,849.35789902715,0.0,0,292.7999999999993,61.67000000000007,231.1299999999992,292.7999999999993,284.04599999999994,10162.867999999999,8458.592,8458.592,True,9431.564999999999,8790.619999999999,9111.092499999999,8790.619999999999,8556.02,True,False,1,1.0,1,0,hold
59,2019-11-06,9313.1,9450.0,9259.48,9343.6,73767.911,-3.4885245901639226,30.5,849.6014920830639,0.0,0,190.52000000000044,136.79999999999927,53.720000000001164,190.52000000000044,276.20400000000006,10183.352,8526.127999999999,8526.127999999999,True,9251.05,8790.619999999999,9020.835,8790.619999999999,8255.58,True,False,1,1.0,1,0,hold
60,2019-11-07,9344.29,9381.93,9091.2,9219.64,77389.569,1.030405134376231,124.65000000000146,806.1130358487435,0.0,0,290.72999999999956,38.32999999999993,252.39999999999964,290.72999999999956,298.3459999999999,10131.603000000001,8526.127999999999,8526.127999999999,True,9241.5,8790.619999999999,9016.06,8790.619999999999,8300.22,True,False,1,1.0,1,0,hold
